Tanggal,Komoditas,Harga,Sumber
2021-01-15,beras_premium,12000.0,PIHPS
2021-01-15,cabai_merah_besar,40000.0,PIHPS
2021-01-15,cabai_merah_keriting,55000.0,PIHPS
2021-01-15,cabai_rawit_merah,80000.0,PIHPS
2021-01-15,daging_ayam_ras,41000.0,PIHPS
2021-01-15,daging_sapi_paha_belakang,120000.0,PIHPS
2021-01-15,daging_sapi_paha_depan,120000.0,PIHPS
2021-01-15,gula_pasir_curah,13500.0,PIHPS
2021-01-15,gula_pasir_kemasan,15500.0,PIHPS
2021-01-15,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-01-15,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-01-15,telur_ayam_ras,27500.0,PIHPS
2021-01-18,bawang_merah,32500.0,PIHPS
2021-01-18,bawang_putih_honan,27500.0,PIHPS
2021-01-18,beras_medium,10000.0,PIHPS
2021-01-18,beras_premium,12000.0,PIHPS
2021-01-18,cabai_merah_besar,40000.0,PIHPS
2021-01-18,cabai_merah_keriting,52500.0,PIHPS
2021-01-18,cabai_rawit_merah,77500.0,PIHPS
2021-01-18,daging_ayam_ras,38500.0,PIHPS
2021-01-18,daging_sapi_paha_belakang,120000.0,PIHPS
2021-01-18,daging_sapi_paha_depan,120000.0,PIHPS
2021-01-18,gula_pasir_curah,13500.0,PIHPS
2021-01-18,gula_pasir_kemasan,15500.0,PIHPS
2021-01-18,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-01-18,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-01-18,telur_ayam_ras,25000.0,PIHPS
2021-01-19,bawang_merah,32500.0,PIHPS
2021-01-19,bawang_putih_honan,27500.0,PIHPS
2021-01-19,beras_medium,10000.0,PIHPS
2021-01-19,beras_premium,12000.0,PIHPS
2021-01-19,cabai_merah_besar,40000.0,PIHPS
2021-01-19,cabai_merah_keriting,55000.0,PIHPS
2021-01-19,cabai_rawit_merah,77500.0,PIHPS
2021-01-19,daging_ayam_ras,39000.0,PIHPS
2021-01-19,daging_sapi_paha_belakang,120000.0,PIHPS
2021-01-19,daging_sapi_paha_depan,120000.0,PIHPS
2021-01-19,gula_pasir_curah,13500.0,PIHPS
2021-01-19,gula_pasir_kemasan,15500.0,PIHPS
2021-01-19,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-01-19,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-01-19,telur_ayam_ras,25000.0,PIHPS
2021-01-20,bawang_merah,30000.0,PIHPS
2021-01-20,bawang_putih_honan,25000.0,PIHPS
2021-01-20,beras_medium,10000.0,PIHPS
2021-01-20,beras_premium,12000.0,PIHPS
2021-01-20,cabai_merah_besar,40000.0,PIHPS
2021-01-20,cabai_merah_keriting,55000.0,PIHPS
2021-01-20,cabai_rawit_merah,77500.0,PIHPS
2021-01-20,daging_ayam_ras,39000.0,PIHPS
2021-01-20,daging_sapi_paha_belakang,120000.0,PIHPS
2021-01-20,daging_sapi_paha_depan,120000.0,PIHPS
2021-01-20,gula_pasir_curah,13500.0,PIHPS
2021-01-20,gula_pasir_kemasan,15500.0,PIHPS
2021-01-20,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-01-20,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-01-20,telur_ayam_ras,25000.0,PIHPS
2021-01-21,bawang_merah,30000.0,PIHPS
2021-01-21,bawang_putih_honan,25000.0,PIHPS
